Customer_ID,Customer_Country,Customer_Gender,Customer_Name,Customer_FirstName,Customer_LastName,Customer_BirthDate,Customer_Age_Group,Customer_Type,Customer_Group,Customer_Age
171,AU,M,Robert Bowerman,Robert,Bowerman,22FEB1978,31-45 years,Orion  Club members high activity,Orion Club members,33
183,AU,M,Duncan Robertshawe,Duncan,Robertshawe,25MAR1948,61-75 years,Orion Club members low activity,Orion Club members,63
195,AU,M,Cosi Rimmington,Cosi,Rimmington,11NOV1948,61-75 years,Orion Club members low activity,Orion Club members,63
215,AU,M,Ramesh Trentholme,Ramesh,Trentholme,16MAY1953,46-60 years,Orion Club Gold members medium activity,Orion Club Gold members,58
544,TR,M,Avni Argac,Avni,Argac,20MAY1968,31-45 years,Orion  Club members high activity,Orion Club members,43
908,TR,M,Avni Umran,Avni,Umran,06DEC1983,15-30 years,Orion Club Gold members high activity,Orion Club Gold members,28
928,TR,M,Bulent Urfalioglu,Bulent,Urfalioglu,11AUG1973,31-45 years,Orion Club members low activity,Orion Club members,38
1033,TR,M,Selim Okay,Selim,Okay,14OCT1983,15-30 years,Orion Club members low activity,Orion Club members,28
1100,TR,M,Ahmet Canko,Ahmet,Canko,19JAN1968,31-45 years,Orion Club members low activity,Orion Club members,43
1684,TR,M,Carglar Aydemir,Carglar,Aydemir,17OCT1978,31-45 years,Orion Club members low activity,Orion Club members,33
2550,ZA,F,Sanelisiwe Collier,Sanelisiwe,Collier,07JUL1992,15-30 years,Orion Club Gold members low activity,Orion Club Gold members,19
2618,ZA,M,Theunis Brazier,Theunis,Brazier,21MAR1953,46-60 years,Orion  Club members medium activity,Orion Club members,58
2788,TR,M,Serdar Yucel,Serdar,Yucel,02JAN1948,61-75 years,Orion  Club members high activity,Orion Club members,63
2806,ZA,F,Raedene Van Den Berg,Raedene,Van Den Berg,16SEP1992,15-30 years,Orion  Club members medium activity,Orion Club members,19
3959,ZA,F,Rita Lotz,Rita,Lotz,24FEB1968,31-45 years,Orion Club Gold members high activity,Orion Club Gold members,43
11171,CA,M,Bill Cuddy,Bill,Cuddy,16OCT1990,15-30 years,Orion Club Gold members low activity,Orion Club Gold members,21
12386,IL,M,Avinoam Zweig,Avinoam,Zweig,12MAY1963,46-60 years,Internet/Catalog Customers,Internet/Catalog Customers,48
14104,IL,M,Avinoam Zweig,Avinoam,Zweig,10OCT1968,31-45 years,Orion  Club members medium activity,Orion Club members,43
14703,IL,M,Eyal Bloch,Eyal,Bloch,24SEP1973,31-45 years,Orion  Club members high activity,Orion Club members,38
17023,CA,F,Susan Krasowski,Susan,Krasowski,09JUL1963,46-60 years,Orion Club Gold members high activity,Orion Club Gold members,48
19444,IL,M,Avinoam Zweig,Avinoam,Zweig,28SEP1963,46-60 years,Orion  Club members high activity,Orion Club members,48
19873,IL,M,Avinoam Tuvia,Avinoam,Tuvia,14JUN1988,15-30 years,Orion Club Gold members high activity,Orion Club Gold members,23
26148,CA,M,Andreas Rennie,Andreas,Rennie,18JUL1938,61-75 years,Orion  Club members medium activity,Orion Club members,73
46966,CA,F,Lauren Krasowski,Lauren,Krasowski,24OCT1990,15-30 years,Orion  Club members high activity,Orion Club members,21
54655,CA,F,Lauren Marx,Lauren,Marx,18AUG1973,31-45 years,Internet/Catalog Customers,Internet/Catalog Customers,38
70046,CA,M,Tommy Mcdonald,Tommy,Mcdonald,20JAN1963,46-60 years,Orion Club members low activity,Orion Club members,48
70059,CA,M,Colin Byarley,Colin,Byarley,20JAN1938,61-75 years,Orion  Club members medium activity,Orion Club members,73
70079,CA,F,Lera Knott,Lera,Knott,11JUL1990,15-30 years,Orion  Club members medium activity,Orion Club members,21
70100,CA,F,Wilma Yeargan,Wilma,Yeargan,23JUN1988,15-30 years,Orion  Club members medium activity,Orion Club members,23
70108,CA,M,Patrick Leach,Patrick,Leach,14APR1943,61-75 years,Orion Club members low activity,Orion Club members,68
70165,CA,F,Portia Reynoso,Portia,Reynoso,11FEB1968,31-45 years,Orion Club members low activity,Orion Club members,43
70187,CA,F,Soberina Berent,Soberina,Berent,27SEP1990,15-30 years,Orion  Club members medium activity,Orion Club members,21
70201,CA,F,Angel Borwick,Angel,Borwick,19DEC1973,31-45 years,Orion Club Gold members low activity,Orion Club Gold members,38
70210,CA,M,Alex Santinello,Alex,Santinello,22APR1990,15-30 years,Orion  Club members medium activity,Orion Club members,21
70221,CA,M,Kenan Talarr,Kenan,Talarr,10FEB1968,31-45 years,Orion  Club members high activity,Orion Club members,43
